name_investigators;Kingdom;conteo_especies
                                                                                                    ;Animalia                                          ;5
Alex Mauricio Jiménez Ortega                                                                        ;Animalia                                          ;1
Alfaro Antonio Asprilla Aguila                                                                      ;Animalia                                          ;1
Eyda Annier Moreno Mosquera                                                                         ;Animalia                                          ;1
Hugo Mantilla Meluk                                                                                 ;Animalia                                          ;1
Jilbher Quinto Mosquera                                                                             ;Animalia                                          ;1
Luis Alberto Moreno Amud                                                                            ;Animalia                                          ;1
Serafín Mosquera mosquera                                                                           ;Animalia                                          ;1
Tulia Sofia Rivas Laras                                                                             ;Animalia                                          ;1
Yacela Roa Garcia                                                                                   ;Animalia                                          ;1
                                                                                                    ;Plantae                                           ;10
Angélica Asprilla Palacios                                                                          ;Plantae                                           ;1
Daniel Robledo Murillo                                                                              ;Plantae                                           ;1
Hamleth Valois Cuesta                                                                               ;Plantae                                           ;1
Helcias Jose  Ayala Mosquera                                                                        ;Plantae                                           ;1
Jovanny Mosquera Pino                                                                               ;Plantae                                           ;1
Luis Javier Mosquera Ramos                                                                          ;Plantae                                           ;1
Nayive Pino Benitez                                                                                 ;Plantae                                           ;1
Wiston Ivan Murillo Moreno                                                                          ;Plantae                                           ;1
name_investigators;Kingdom;conteo_especies
